eps_deg,sample_idx,D_m,R_star_m,q
0.2,11,0.304222,0.152111,1.000000
0.2,12,5.423378,2.711689,1.000000
0.2,13,8.822242,4.411121,1.000000
0.2,14,5.705958,2.852979,1.000000
0.2,15,3.684014,1.842007,1.000000
0.2,16,6.552799,3.276400,1.000000
0.2,17,4.756270,2.414972,1.015490
0.2,18,5.442906,2.721453,1.000000
0.2,19,9.536462,4.768231,1.000000
0.2,20,5.282840,2.641420,1.000000
0.2,21,5.242155,2.656217,1.013407
0.2,22,1.557169,0.778585,1.000000
0.2,23,0.813314,0.406657,1.000000
0.2,24,1.732731,0.866365,1.000000
0.2,25,4.929420,2.473364,1.003511
0.2,26,3.238717,1.619359,1.000000
0.2,27,12.580623,6.290311,1.000000
0.2,28,1.442895,0.721448,1.000000
0.2,29,1.982159,0.991080,1.000000
0.2,30,1.069942,0.534971,1.000001
0.2,31,4.781236,2.399675,1.003788
0.2,32,4.202551,2.101275,1.000000
0.2,33,85.082014,42.541007,1.000000
0.2,34,5.371750,2.685875,1.000000
0.2,35,6.343105,3.171553,1.000000
0.2,36,2.570455,1.285227,1.000000
0.2,37,2.980703,1.491714,1.000914
0.2,38,11.727162,5.863581,1.000000
0.2,39,0.644568,0.322284,1.000000
0.2,40,4.043895,2.021948,1.000000
0.2,41,5.177490,2.588745,1.000000
0.2,42,2.728970,1.364485,1.000000
0.2,43,1.758267,0.879134,1.000000
0.2,44,3.937096,2.008063,1.020073
0.2,45,13.498401,6.749201,1.000000
0.2,46,2.340068,1.170034,1.000000
0.2,47,8.318517,4.159259,1.000000
0.2,48,3.732096,1.866048,1.000000
0.2,49,10.156560,5.078280,1.000000
0.2,50,2.981719,1.490859,1.000000
0.2,51,2.837782,1.418891,1.000000
0.2,52,5.876846,2.938423,1.000000
0.2,53,3.457945,1.728972,1.000000
0.2,54,1.641964,0.820982,1.000000
0.2,55,1.159814,0.579907,1.000000
0.2,56,5.201904,2.600952,1.000000
0.2,57,3.673091,1.836545,1.000000
0.2,58,18.689498,9.344749,1.000000
0.2,59,6.001970,3.000985,1.000000
0.2,60,7.541165,3.787577,1.004507
0.2,61,0.872746,0.436373,1.000000
0.2,62,5.959847,2.979924,1.000000
0.2,63,1.362527,0.681264,1.000000
0.2,64,1.990701,0.995350,1.000000
0.2,65,11.097176,5.548588,1.000000
0.2,66,6.774520,3.389035,1.000524
0.2,67,0.498872,0.249566,1.000521
0.2,68,8.783397,4.391698,1.000000
0.2,69,0.852070,0.426035,1.000000
0.2,70,0.606642,0.303322,1.000002
0.2,71,3.322408,1.667933,1.004051
0.2,72,3.454171,1.727086,1.000000
0.2,73,1.598758,0.799379,1.000000
0.2,74,5.072627,2.536314,1.000000
0.2,75,3.598955,1.807519,1.004469
0.2,76,1.164193,0.582097,1.000000
0.2,77,5.148224,2.574112,1.000000
0.2,78,1.826976,0.913488,1.000000
0.2,79,7.610219,3.805110,1.000000
0.2,80,5.046676,2.526308,1.001177
0.2,81,6.007170,3.003585,1.000000
0.2,82,7.017619,3.508809,1.000000
0.2,83,3.039168,1.519584,1.000000
0.2,84,4.525638,2.262819,1.000000
0.2,85,3.660518,1.833898,1.001988
0.2,86,0.856778,0.428389,1.000000
0.2,87,5.481987,2.740994,1.000000
0.2,88,2.868498,1.434249,1.000000
0.2,89,7.927033,3.963516,1.000000
0.2,90,5.104898,2.558825,1.002498
0.2,91,5.578922,2.789461,1.000000
0.2,92,11.064431,5.532215,1.000000
0.2,93,5.970493,2.985249,1.000001
0.2,94,1.404380,0.702190,1.000000
0.2,95,5.086854,2.543427,1.000000
0.2,96,9.069690,4.534845,1.000000
0.2,97,5.192336,2.596168,1.000000
0.2,98,1.686164,0.843194,1.000132
0.2,99,9.980756,4.990378,1.000000
0.2,100,16.177109,8.088555,1.000000
0.2,101,2.566692,1.284585,1.000966
0.2,102,0.452257,0.226137,1.000039
0.2,103,8.372697,4.186349,1.000000
0.2,104,9.267423,4.633712,1.000000
0.2,105,11.139655,5.570203,1.000067
0.2,106,2.714790,1.357395,1.000000
0.2,107,11.145244,5.572622,1.000000
0.2,108,7.406299,3.703150,1.000000
0.2,109,33.311666,16.655833,1.000000
0.2,110,3.067235,1.708865,1.114271
0.2,111,9.089582,4.544791,1.000000
0.2,112,4.638435,2.320406,1.000513
0.2,113,6.423247,3.211624,1.000000
0.2,114,5.075871,2.537935,1.000000
0.2,115,2.728441,1.368058,1.002813
0.2,116,3.289604,1.644802,1.000000
0.2,117,1.949738,0.974869,1.000000
0.2,118,1.774463,0.887231,1.000000
0.2,119,5.181992,2.590996,1.000000
0.2,120,3.104222,1.552111,1.000000
0.2,121,6.444579,3.222290,1.000000
0.2,122,2.084024,1.042012,1.000000
0.2,123,3.327827,1.663913,1.000000
0.2,124,1.322584,0.661292,1.000000
0.2,125,3.677885,1.838943,1.000000
0.2,126,1.961428,0.980714,1.000000
0.2,127,1.026229,0.513115,1.000000
0.2,128,8.455487,4.227744,1.000000
0.2,129,2.262862,1.131431,1.000000
0.2,130,2.993850,1.496925,1.000000
0.2,131,8.083670,4.041835,1.000000
0.2,132,1.667369,0.833685,1.000000
0.2,133,3.933358,1.966679,1.000000
0.2,134,8.359056,4.179528,1.000000
0.2,135,3.467724,1.733862,1.000000
0.2,136,0.877790,0.438895,1.000000
0.2,137,5.560089,2.780044,1.000000
0.2,138,8.357950,4.178975,1.000000
0.2,139,3.737521,1.868761,1.000000
0.2,140,6.412235,3.206118,1.000000
0.2,141,2.425576,1.212788,1.000000
0.2,142,6.013945,3.006973,1.000000
0.2,143,3.165227,1.582613,1.000000
0.2,144,2.413614,1.206807,1.000000
0.2,145,3.636723,1.818361,1.000000
0.2,146,0.846953,0.423476,1.000000
0.2,147,4.875855,2.452206,1.005857
0.2,148,3.707363,1.853681,1.000000
0.2,149,2.843363,1.421681,1.000000
0.2,150,2.801493,1.400747,1.000000
0.2,151,3.960879,1.981077,1.000322
0.2,152,10.384161,5.192080,1.000000
0.2,153,0.829265,0.414632,1.000000
0.2,154,9.758380,4.879190,1.000000
0.2,155,5.293134,2.651852,1.001997
0.2,156,2.316420,1.158210,1.000000
0.2,157,1.489467,0.744733,1.000000
0.2,158,7.641325,3.820663,1.000000
0.2,159,2.048561,1.024281,1.000000
0.2,160,3.085823,1.542912,1.000000
0.2,161,1.505017,0.752508,1.000000
0.2,162,5.061656,2.538094,1.002871
0.2,163,0.522096,0.262603,1.005959
