N,scene_idx,D_m,D_ref_m,R_star_m,R_star_ref_m,q,q_ref
32,91,28.341088,28.341088,14.170544,14.170544,1.000000,1.000000
32,92,10.603142,10.603142,5.301571,5.301571,1.000000,1.000000
32,93,7.793288,7.793288,4.021761,4.021761,1.032109,1.032109
32,94,44.369610,44.369610,22.184805,22.184805,1.000000,1.000000
32,95,23.226159,23.226159,11.613079,11.613079,1.000000,1.000000
32,96,68.924593,68.924593,34.462296,34.462296,1.000000,1.000000
32,97,15.245564,15.245564,7.622782,7.622782,1.000000,1.000000
32,98,49.787380,49.787380,24.893690,24.893690,1.000000,1.000000
32,99,1.759913,1.759913,0.879956,0.879956,1.000000,1.000000
32,100,26.791612,26.791612,13.395806,13.395806,1.000000,1.000000
32,101,20.345975,20.345975,10.301955,10.301955,1.012677,1.012677
32,102,15.797370,15.797370,7.898685,7.898685,1.000000,1.000000
32,103,38.775105,38.775105,19.387553,19.387553,1.000000,1.000000
32,104,138.199825,138.199825,69.099912,69.099912,1.000000,1.000000
32,105,36.352216,36.352216,18.176108,18.176108,1.000000,1.000000
32,106,27.412736,27.412736,13.706368,13.706368,1.000000,1.000000
32,107,22.620712,22.620712,11.310356,11.310356,1.000000,1.000000
32,108,5.309070,5.309070,2.654535,2.654535,1.000000,1.000000
32,109,260.508758,260.508758,130.254379,130.254379,1.000000,1.000000
32,110,33.970779,33.970779,16.985390,16.985390,1.000000,1.000000
32,111,11.226473,11.226473,5.613237,5.613237,1.000000,1.000000
32,112,25.903089,25.903089,12.951545,12.951545,1.000000,1.000000
32,113,15.653416,15.653416,7.826708,7.826708,1.000000,1.000000
32,114,31.208376,31.208376,15.604188,15.604188,1.000000,1.000000
32,115,36.480391,36.480391,18.240195,18.240195,1.000000,1.000000
32,116,193.759092,193.759092,96.879546,96.879546,1.000000,1.000000
32,117,20.183909,20.183909,10.091954,10.091954,1.000000,1.000000
32,118,34.638643,34.638643,17.323815,17.323815,1.000259,1.000259
32,119,40.028641,40.028641,20.014321,20.014321,1.000000,1.000000
32,120,3.108681,3.108681,1.554341,1.554341,1.000000,1.000000
32,121,9.796183,9.796183,4.898091,4.898091,1.000000,1.000000
32,122,93.631565,93.631565,46.815783,46.815783,1.000000,1.000000
32,123,7.565597,7.565597,3.782798,3.782798,1.000000,1.000000
32,124,35.827145,35.827145,17.913572,17.913572,1.000000,1.000000
32,125,25.737579,25.737579,12.868790,12.868790,1.000000,1.000000
32,126,28.804380,28.804380,14.448341,14.448341,1.003204,1.003204
32,127,26.908152,26.908152,13.454076,13.454076,1.000000,1.000000
32,128,15.970116,15.970116,7.985058,7.985058,1.000000,1.000000
32,129,17.492095,17.492095,8.746048,8.746048,1.000000,1.000000
32,130,26.980075,26.980075,13.490037,13.490037,1.000000,1.000000
