case,n,status,D_m,q,covered,true_source_contained
40,5,bounded,40.2006872481418,1.0,True,True
40,8,bounded,3.8249305844322175,1.0000000000000084,True,True
40,12,bounded,1.3750254680627456,1.0019362846763527,False,True
41,2,bounded,45.04380946058115,1.0000000000000036,True,True
41,3,bounded,43.06730703822882,1.0,True,True
41,5,bounded,10.441008249663591,1.0005994532003804,False,True
41,8,bounded,8.933722218007025,1.0005994532003777,False,True
41,12,bounded,8.7071650084785,1.000599453200374,False,True
42,2,bounded,32.20239057107911,1.0000000000000013,True,True
42,3,bounded,32.202390571079,1.000000000000001,True,True
42,5,bounded,25.620484891094314,1.0024064289263028,False,True
42,8,bounded,16.616134641968678,1.0000000000000013,True,True
42,12,bounded,14.936322542718898,1.0169736364633917,False,True
43,2,bounded,597.2533720323001,1.0000000000000002,True,True
43,3,bounded,103.75708639508275,1.0000000000000018,True,True
43,5,bounded,57.870754482583045,1.0,True,True
43,8,bounded,13.125327987553689,1.0000000000000153,True,True
43,12,bounded,1.705985886225917,1.0000000000001206,True,True
44,2,bounded,159.39099806363558,1.0000000000000004,True,True
44,3,bounded,120.00886607920451,1.0000000000000007,True,True
44,5,bounded,18.96869240907394,1.023160999738958,False,True
44,8,bounded,12.144604848482393,1.073338969120685,False,True
44,12,bounded,7.162227434412021,1.0000000000000018,True,True
45,2,bounded,677.2809055299573,1.0000000000000002,True,True
45,3,bounded,60.58538362360385,1.0000000000000002,True,True
45,5,bounded,43.77519276153117,1.0000000000000004,True,True
45,8,bounded,14.721980671844486,1.000000000000002,True,True
45,12,bounded,4.897394147945836,1.0000000000000056,True,True
46,2,bounded,12.880709488991924,1.0000000000000129,True,True
46,3,bounded,10.063361851381156,1.000000000000016,True,True
46,5,bounded,9.288577983333546,1.0000000000000184,True,True
46,8,bounded,6.082661203880726,1.000000000000016,True,True
46,12,bounded,5.747461280379305,1.0000231157725015,False,True
47,2,bounded,61.24093804397362,1.0003333591445147,False,True
47,3,bounded,21.861739569350863,1.0000413089470948,False,True
47,5,bounded,11.5546545860177,1.0061113930427594,False,True
47,8,bounded,11.554654586017657,1.006111393042757,False,True
47,12,bounded,7.410074998625638,1.0003856177014399,False,True
48,2,bounded,41.27822767141131,1.0,True,True
48,3,bounded,41.27822767141144,1.000000000000001,True,True
48,5,bounded,9.496570525497587,1.0000000000000016,True,True
48,8,bounded,1.5896169152863566,1.0,True,True
48,12,bounded,1.4723089287009878,1.0000505370915709,False,True
49,2,bounded,86.82730595382687,1.0000000000000009,True,True
49,3,bounded,35.27428887060806,1.000000000000001,True,True
49,5,bounded,22.374268892413927,1.000000000000005,True,True
49,8,bounded,19.81294630993191,1.0,True,True
49,12,bounded,17.19755394507592,1.0000000000000067,True,True
