pose,case,strategy,S1_x,S1_y,G_x,G_y,R_true,e1,e2,bearing1,S2_x,S2_y,status,D_upper,D_lower,optical_guaranteed,bracket_width
center,14,minimax,0.0,0.0,-472.12742402056153,839.1046898827226,1217.2976868383812,0.1729857939913848,-0.716682620142856,119.53753572326896,-890.2384046076467,464.52595564972063,direction,42.72841217920809,42.72841186962047,False,3.095876195402525e-07
center,14,along_750,0.0,0.0,-472.12742402056153,839.1046898827226,1217.2976868383812,0.1729857939913848,-0.716682620142856,119.53753572326896,-369.74523264011754,652.5246837782502,direction,745.2503414085634,745.222014142364,False,0.02832726619942605
center,14,perpendicular_1000,0.0,0.0,-472.12742402056153,839.1046898827226,1217.2976868383812,0.1729857939913848,-0.716682620142856,119.53753572326896,-870.0329117043335,-492.99364352015675,no_signal,,,False,
center,14,random_omega,0.0,0.0,-472.12742402056153,839.1046898827226,1217.2976868383812,0.1729857939913848,-0.716682620142856,119.53753572326896,484.4524773782905,753.4755353315021,direction,74.33582786590839,74.33582742950657,False,4.3640181957016466e-07
center,15,minimax,0.0,0.0,-665.2567099050871,-726.1664604269168,1044.349288178142,0.894816700560708,-0.49509841476551064,-131.59865250492692,-151.7444487192636,-992.6139243399425,direction,44.41411396704279,44.41411365016131,False,3.168814757259497e-07
center,15,along_750,0.0,0.0,-665.2567099050871,-726.1664604269168,1044.349288178142,0.894816700560708,-0.49509841476551064,-131.59865250492692,-497.9314691882827,-560.8602784936711,direction,329.2627779223641,329.2626787473731,False,9.917499096445681e-05
center,15,perpendicular_1000,0.0,0.0,-665.2567099050871,-726.1664604269168,1044.349288178142,0.894816700560708,-0.49509841476551064,-131.59865250492692,747.8137046582282,-663.9086255843769,no_signal,,,False,
center,15,random_omega,0.0,0.0,-665.2567099050871,-726.1664604269168,1044.349288178142,0.894816700560708,-0.49509841476551064,-131.59865250492692,1497.7601157514841,-529.2090317712152,no_signal,,,False,
center,16,minimax,0.0,0.0,244.71915066389076,517.5075301623507,1376.5359320880584,0.8509679881936252,0.16178213564005262,65.54242031463913,-147.54428982783315,993.2469295446398,direction,38.94850778459914,38.94850740794466,True,3.7665447649715134e-07
center,16,along_750,0.0,0.0,244.71915066389076,517.5075301623507,1376.5359320880584,0.8509679881936252,0.16178213564005262,65.54242031463913,310.5145629361571,682.7010372077717,direction,253.514807351536,253.51470933583326,False,9.801570274703408e-05
center,16,perpendicular_1000,0.0,0.0,244.71915066389076,517.5075301623507,1376.5359320880584,0.8509679881936252,0.16178213564005262,65.54242031463913,-910.2680496103624,414.0194172482095,direction,61.10178049352686,61.1017801020724,False,3.914544635108541e-07
center,16,random_omega,0.0,0.0,244.71915066389076,517.5075301623507,1376.5359320880584,0.8509679881936252,0.16178213564005262,65.54242031463913,722.8355209754106,-41.91061837555913,direction,42.924287543168035,42.924287172565364,False,3.7060267032984484e-07
center,17,minimax,0.0,0.0,726.0953492747855,-675.2312001194376,1181.2675384583508,0.46260245590183136,-0.3466357309142505,-42.4586370723058,990.2245827278304,-166.62549706497023,direction,45.2584273774975,45.258427056975336,False,3.2052216170086467e-07
center,17,along_750,0.0,0.0,726.0953492747855,-675.2312001194376,1181.2675384583508,0.46260245590183136,-0.3466357309142505,-42.4586370723058,553.3236496794059,-506.2933326693746,direction,745.2498385652849,745.221511131134,False,0.02832743415092409
center,17,perpendicular_1000,0.0,0.0,726.0953492747855,-675.2312001194376,1181.2675384583508,0.46260245590183136,-0.3466357309142505,-42.4586370723058,675.0577768924994,737.7648662392079,no_signal,,,False,
center,17,random_omega,0.0,0.0,726.0953492747855,-675.2312001194376,1181.2675384583508,0.46260245590183136,-0.3466357309142505,-42.4586370723058,-1543.4050577191215,718.3826041842738,no_signal,,,False,
center,18,minimax,0.0,0.0,-38.57052925722178,-1291.0643446745294,1448.226738269346,-0.11031728520844597,-0.6168591699607939,-91.82151892775693,518.4558815633488,-859.9489981289734,direction,81.3022963556021,81.30229589531532,False,4.602867704761593e-07
center,18,along_750,0.0,0.0,-38.57052925722178,-1291.0643446745294,1448.226738269346,-0.11031728520844597,-0.6168591699607939,-91.82151892775693,-23.839610752984576,-749.6210195553125,direction,745.1079610096505,745.0796279429343,False,0.028333066716186295
center,18,perpendicular_1000,0.0,0.0,-38.57052925722178,-1291.0643446745294,1448.226738269346,-0.11031728520844597,-0.6168591699607939,-91.82151892775693,999.4946927404167,-31.786147670646102,no_signal,,,False,
center,18,random_omega,0.0,0.0,-38.57052925722178,-1291.0643446745294,1448.226738269346,-0.11031728520844597,-0.6168591699607939,-91.82151892775693,-271.08262303750445,-1028.1391927422767,direction,81.03640212421703,81.03640158683987,False,5.373771614358702e-07
center,19,minimax,0.0,0.0,257.6867570115992,1081.0815697003197,1333.7677951895912,0.755968885379519,-0.6646428663717749,77.34910834992847,-347.651334835925,942.0442292681665,direction,56.090939176564746,56.0909388106621,False,3.659026432956125e-07
center,19,along_750,0.0,0.0,257.6867570115992,1081.0815697003197,1333.7677951895912,0.755968885379519,-0.6646428663717749,77.34910834992847,164.25749303066394,731.7919622292127,direction,745.2516403810948,745.2233129369671,False,0.02832744412773991
center,19,perpendicular_1000,0.0,0.0,257.6867570115992,1081.0815697003197,1333.7677951895912,0.755968885379519,-0.6646428663717749,77.34910834992847,-975.7226163056168,219.00999070755194,no_signal,,,False,
center,19,random_omega,0.0,0.0,257.6867570115992,1081.0815697003197,1333.7677951895912,0.755968885379519,-0.6646428663717749,77.34910834992847,525.1436753286257,-231.9529985510255,no_signal,,,False,
center,20,minimax,0.0,0.0,-86.78677275932372,969.9642514789333,1470.6630654453272,0.8167511252374027,0.9961127663826048,95.92963006648829,-629.700860225973,782.1672501078807,direction,44.80977108188403,44.80977076329524,False,3.1858878912771615e-07
center,20,along_750,0.0,0.0,-86.78677275932372,969.9642514789333,1470.6630654453272,0.8167511252374027,0.9961127663826048,95.92963006648829,-77.48019438000289,745.9871443120431,direction,745.2504478318997,745.2221203906452,False,0.02832744125453246
center,20,perpendicular_1000,0.0,0.0,-86.78677275932372,969.9642514789333,1470.6630654453272,0.8167511252374027,0.9961127663826048,95.92963006648829,-994.6495257493908,-103.30692584000384,direction,109.7864886167986,109.78648809627938,False,5.205192081803034e-07
center,20,random_omega,0.0,0.0,-86.78677275932372,969.9642514789333,1470.6630654453272,0.8167511252374027,0.9961127663826048,95.92963006648829,-1097.1141470737225,1303.8729278803587,direction,64.71283097797779,64.71283061464044,False,3.6333734954041574e-07
center,21,minimax,0.0,0.0,-208.17193867054104,644.5278752412205,1331.816037828441,0.47448986396840653,-0.419357926845755,108.37409600562758,-783.4579995662648,628.0942154058424,direction,36.676312845431546,36.67631250925698,True,3.3617456551837677e-07
center,21,along_750,0.0,0.0,-208.17193867054104,644.5278752412205,1331.816037828441,0.47448986396840653,-0.419357926845755,108.37409600562758,-236.415006282414,711.7639670596469,direction,183.03168596902185,183.03158903264892,False,9.693637292684798e-05
center,21,perpendicular_1000,0.0,0.0,-208.17193867054104,644.5278752412205,1331.816037828441,0.47448986396840653,-0.419357926845755,108.37409600562758,-949.0186227461959,-315.220008376552,direction,69.628826143689,69.62882572531491,False,4.1837408559786127e-07
center,21,random_omega,0.0,0.0,-208.17193867054104,644.5278752412205,1331.816037828441,0.47448986396840653,-0.419357926845755,108.37409600562758,72.18853405622069,-617.5693774335293,direction,550.6677442803615,550.6395565246136,False,0.028187755747921983
center,22,minimax,0.0,0.0,-850.6360423013607,838.2106925764882,1376.1593325787885,0.905944688348743,0.6427368453964051,136.32747924121838,-986.4724477753184,187.5656959329881,direction,67.66039448635085,67.66039407527167,False,4.110791849143425e-07
center,22,along_750,0.0,0.0,-850.6360423013607,838.2106925764882,1376.1593325787885,0.905944688348743,0.6427368453964051,136.32747924121838,-542.4738091411383,517.901695687419,direction,745.2497460058778,745.2214187112169,False,0.028327294660925872
center,22,perpendicular_1000,0.0,0.0,-850.6360423013607,838.2106925764882,1376.1593325787885,0.905944688348743,0.6427368453964051,136.32747924121838,-690.5355942498919,-723.2984121881843,no_signal,,,False,
center,22,random_omega,0.0,0.0,-850.6360423013607,838.2106925764882,1376.1593325787885,0.905944688348743,0.6427368453964051,136.32747924121838,1172.1042482734242,406.92942073149567,no_signal,,,False,
center,23,minimax,0.0,0.0,937.3937613049445,-441.48417671358743,1287.0357992709705,0.8455931885826129,-0.061469688416041945,-24.37342743767087,993.0291550323032,149.00294549600088,direction,49.256484181921444,49.256483844331676,False,3.3758976769604487e-07
center,23,along_750,0.0,0.0,937.3937613049445,-441.48417671358743,1287.0357992709705,0.8455931885826129,-0.061469688416041945,-24.37342743767087,683.1563639222476,-309.51152229365175,direction,663.7488165809336,663.7487122926093,False,0.00010428832433717616
center,23,perpendicular_1000,0.0,0.0,937.3937613049445,-441.48417671358743,1287.0357992709705,0.8455931885826129,-0.061469688416041945,-24.37342743767087,412.682029724869,910.8751518963301,no_signal,,,False,
center,23,random_omega,0.0,0.0,937.3937613049445,-441.48417671358743,1287.0357992709705,0.8455931885826129,-0.061469688416041945,-24.37342743767087,520.1012477593729,1579.1156926257174,no_signal,,,False,
center,24,minimax,0.0,0.0,-149.58486773607063,-720.4784686752774,1463.707839944204,0.6940849784785068,0.38016127671160005,-101.03496104024724,374.07832139625447,-931.8659721075852,direction,35.64878762445897,35.64878731371894,True,3.107400274870997e-07
center,24,along_750,0.0,0.0,-149.58486773607063,-720.4784686752774,1463.707839944204,0.6940849784785068,0.38016127671160005,-101.03496104024724,-143.55595069361055,-736.1329289064943,direction,19.37986539734957,19.379771015739003,True,9.438161056607441e-05
center,24,perpendicular_1000,0.0,0.0,-149.58486773607063,-720.4784686752774,1463.707839944204,0.6940849784785068,0.38016127671160005,-101.03496104024724,981.5105718753257,-191.4079342581474,direction,77.60899489997769,77.60899445876319,False,4.412144960497244e-07
center,24,random_omega,0.0,0.0,-149.58486773607063,-720.4784686752774,1463.707839944204,0.6940849784785068,0.38016127671160005,-101.03496104024724,-1236.2790955944974,382.98593979286386,no_signal,,,False,
